,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
36,192.168.159.238,146.75.52.81,6,TCP,54,37,2024-03-27 02:43:31.692735,1711503811.692735200,,,,,,,,,,35706,443,0x0010,748,24803,
37,146.75.52.81,192.168.159.238,6,TLS,1394,38,2024-03-27 02:43:31.695059,1711503811.695058800,,,,,,,,,,443,35706,0x0018,24803,748,TLS_Packet_Captured
38,146.75.52.81,192.168.159.238,6,TLS,1394,39,2024-03-27 02:43:31.695059,1711503811.695058900,,,,,,,,,,443,35706,0x0010,26143,748,TLS_Packet_Captured
39,192.168.159.238,146.75.52.81,6,TCP,54,40,2024-03-27 02:43:31.695078,1711503811.695078400,,,,,,,,,,35706,443,0x0010,748,26143,
40,192.168.159.238,146.75.52.81,6,TCP,54,41,2024-03-27 02:43:31.695185,1711503811.695184700,,,,,,,,,,35706,443,0x0010,748,27483,
41,146.75.52.81,192.168.159.238,6,TLS,1394,42,2024-03-27 02:43:31.695188,1711503811.695188300,,,,,,,,,,443,35706,0x0018,27483,748,TLS_Packet_Captured
42,192.168.159.238,146.75.52.81,6,TCP,54,43,2024-03-27 02:43:31.695191,1711503811.695191500,,,,,,,,,,35706,443,0x0010,748,28823,
43,146.75.52.81,192.168.159.238,6,TLS,2734,44,2024-03-27 02:43:31.697665,1711503811.697665500,,,,,,,,,,443,35706,0x0018,28823,748,TLS_Packet_Captured
44,192.168.159.238,146.75.52.81,6,TCP,54,45,2024-03-27 02:43:31.697684,1711503811.697684000,,,,,,,,,,35706,443,0x0010,748,31503,
45,146.75.52.81,192.168.159.238,6,TLS,1394,46,2024-03-27 02:43:31.697717,1711503811.697716900,,,,,,,,,,443,35706,0x0010,31503,748,TLS_Packet_Captured
46,146.75.52.81,192.168.159.238,6,TLS,1394,47,2024-03-27 02:43:31.700291,1711503811.700291000,,,,,,,,,,443,35706,0x0018,32843,748,TLS_Packet_Captured
47,146.75.52.81,192.168.159.238,6,TLS,2734,48,2024-03-27 02:43:31.700291,1711503811.700291200,,,,,,,,,,443,35706,0x0018,34183,748,TLS_Packet_Captured
48,146.75.52.81,192.168.159.238,6,TLS,1394,49,2024-03-27 02:43:31.700291,1711503811.700291200,,,,,,,,,,443,35706,0x0010,36863,748,TLS_Packet_Captured
49,192.168.159.238,146.75.52.81,6,TCP,54,50,2024-03-27 02:43:31.700310,1711503811.700309800,,,,,,,,,,35706,443,0x0010,748,34183,
50,192.168.159.238,146.75.52.81,6,TCP,54,51,2024-03-27 02:43:31.700479,1711503811.700478700,,,,,,,,,,35706,443,0x0010,748,38203,
51,146.75.52.81,192.168.159.238,6,TLS,1394,52,2024-03-27 02:43:31.703879,1711503811.703879100,,,,,,,,,,443,35706,0x0018,38203,748,TLS_Packet_Captured
52,146.75.52.81,192.168.159.238,6,TLS,2734,53,2024-03-27 02:43:31.703879,1711503811.703879300,,,,,,,,,,443,35706,0x0018,39543,748,TLS_Packet_Captured
53,146.75.52.81,192.168.159.238,6,TLS,2734,54,2024-03-27 02:43:31.703879,1711503811.703879300,,,,,,,,,,443,35706,0x0018,42223,748,TLS_Packet_Captured
54,192.168.159.238,146.75.52.81,6,TCP,54,55,2024-03-27 02:43:31.703924,1711503811.703924100,,,,,,,,,,35706,443,0x0010,748,42223,
55,192.168.159.238,146.75.52.81,6,TCP,54,56,2024-03-27 02:43:31.704049,1711503811.704048700,,,,,,,,,,35706,443,0x0010,748,44903,
56,146.75.52.81,192.168.159.238,6,TLS,2734,57,2024-03-27 02:43:31.710075,1711503811.710074900,,,,,,,,,,443,35706,0x0018,44903,748,TLS_Packet_Captured
57,192.168.159.238,146.75.52.81,6,TCP,54,58,2024-03-27 02:43:31.710093,1711503811.710093500,,,,,,,,,,35706,443,0x0010,748,47583,
58,146.75.52.81,192.168.159.238,6,TLS,1394,59,2024-03-27 02:43:31.710275,1711503811.710275400,,,,,,,,,,443,35706,0x0018,47583,748,TLS_Packet_Captured
59,146.75.52.81,192.168.159.238,6,TLS,2734,60,2024-03-27 02:43:31.710275,1711503811.710275500,,,,,,,,,,443,35706,0x0018,48923,748,TLS_Packet_Captured
60,146.75.52.81,192.168.159.238,6,TLS,2734,61,2024-03-27 02:43:31.710275,1711503811.710275500,,,,,,,,,,443,35706,0x0018,51603,748,TLS_Packet_Captured
61,146.75.52.81,192.168.159.238,6,TLS,2734,62,2024-03-27 02:43:31.710276,1711503811.710275600,,,,,,,,,,443,35706,0x0018,54283,748,TLS_Packet_Captured
62,146.75.52.81,192.168.159.238,6,TLS,1394,63,2024-03-27 02:43:31.710276,1711503811.710275600,,,,,,,,,,443,35706,0x0010,56963,748,TLS_Packet_Captured
63,192.168.159.238,146.75.52.81,6,TCP,54,64,2024-03-27 02:43:31.710373,1711503811.710373000,,,,,,,,,,35706,443,0x0010,748,58303,
64,146.75.52.81,192.168.159.238,6,TLS,2734,65,2024-03-27 02:43:31.716586,1711503811.716586100,,,,,,,,,,443,35706,0x0018,58303,748,TLS_Packet_Captured
65,192.168.159.238,146.75.52.81,6,TCP,54,66,2024-03-27 02:43:31.716623,1711503811.716623400,,,,,,,,,,35706,443,0x0010,748,60983,
66,146.75.52.81,192.168.159.238,6,TLS,4074,67,2024-03-27 02:43:31.716686,1711503811.716686600,,,,,,,,,,443,35706,0x0018,60983,748,TLS_Packet_Captured
67,146.75.52.81,192.168.159.238,6,TLS,4074,68,2024-03-27 02:43:31.716686,1711503811.716686600,,,,,,,,,,443,35706,0x0018,65003,748,TLS_Packet_Captured
68,146.75.52.81,192.168.159.238,6,TLS,549,69,2024-03-27 02:43:31.716687,1711503811.716686700,,,,,,,,,,443,35706,0x0018,69023,748,TLS_Packet_Captured
69,192.168.159.238,146.75.52.81,6,TCP,54,70,2024-03-27 02:43:31.716790,1711503811.716790500,,,,,,,,,,35706,443,0x0010,748,69518,
70,192.168.159.238,192.168.144.1,17,DNS,73,71,2024-03-27 02:43:31.718360,1711503811.718360400,51169,53,www.bbc.co.uk,,1,0x0001,1,0,0,,,,,,
71,192.168.159.238,192.168.144.1,17,DNS,73,72,2024-03-27 02:43:31.718366,1711503811.718366300,51169,53,www.bbc.co.uk,,28,0x0001,1,0,0,,,,,,
