,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
37,192.168.159.238,146.75.53.164,6,TCP,54,38,2024-03-27 02:47:31.647834,1711504051.647834300,,,,,,,,,,60366,443,0x0010,786,22502,
38,192.168.144.1,239.255.255.250,17,SSDP,211,39,2024-03-27 02:47:31.651941,1711504051.651941100,65184,1900,,,,,,,,,,,,,
39,146.75.53.164,192.168.159.238,6,TCP,2734,40,2024-03-27 02:47:31.654426,1711504051.654425600,,,,,,,,,,443,60366,0x0018,22502,786,
40,146.75.53.164,192.168.159.238,6,TCP,2734,41,2024-03-27 02:47:31.654426,1711504051.654425700,,,,,,,,,,443,60366,0x0018,25182,786,
41,146.75.53.164,192.168.159.238,6,TCP,54,42,2024-03-27 02:47:31.654426,1711504051.654425800,,,,,,,,,,443,60366,0x0010,3742,786,
42,146.75.53.164,192.168.159.238,6,TCP,2734,43,2024-03-27 02:47:31.654426,1711504051.654425800,,,,,,,,,,443,60366,0x0018,27862,786,
43,192.168.159.238,146.75.53.164,6,TCP,54,44,2024-03-27 02:47:31.654444,1711504051.654444300,,,,,,,,,,60366,443,0x0010,786,25182,
44,192.168.159.238,146.75.53.164,6,TCP,54,45,2024-03-27 02:47:31.654476,1711504051.654476000,,,,,,,,,,60366,443,0x0010,786,27862,
45,192.168.159.238,146.75.53.164,6,TCP,54,46,2024-03-27 02:47:31.654570,1711504051.654570000,,,,,,,,,,60366,443,0x0010,786,30542,
46,146.75.53.164,192.168.159.238,6,TCP,2734,47,2024-03-27 02:47:31.663627,1711504051.663627300,,,,,,,,,,443,60366,0x0018,30542,786,
47,146.75.53.164,192.168.159.238,6,TCP,2734,48,2024-03-27 02:47:31.663628,1711504051.663627900,,,,,,,,,,443,60366,0x0018,33222,786,
48,146.75.53.164,192.168.159.238,6,TLS,2734,49,2024-03-27 02:47:31.663628,1711504051.663627900,,,,,,,,,,443,60366,0x0018,35902,786,TLS_Packet_Captured
49,146.75.53.164,192.168.159.238,6,TCP,2734,50,2024-03-27 02:47:31.663628,1711504051.663628000,,,,,,,,,,443,60366,0x0018,38582,786,
50,146.75.53.164,192.168.159.238,6,TCP,2734,51,2024-03-27 02:47:31.663673,1711504051.663673000,,,,,,,,,,443,60366,0x0018,41262,786,
51,192.168.159.238,146.75.53.164,6,TCP,54,52,2024-03-27 02:47:31.663764,1711504051.663763500,,,,,,,,,,60366,443,0x0010,786,43942,
52,146.75.53.164,192.168.159.238,6,TCP,2734,53,2024-03-27 02:47:31.665426,1711504051.665425900,,,,,,,,,,443,60366,0x0018,43942,786,
53,192.168.159.238,146.75.53.164,6,TCP,54,54,2024-03-27 02:47:31.665443,1711504051.665443500,,,,,,,,,,60366,443,0x0010,786,46622,
54,146.75.53.164,192.168.159.238,6,TCP,2734,55,2024-03-27 02:47:31.673863,1711504051.673863500,,,,,,,,,,443,60366,0x0010,46622,786,
