,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
37,172.20.146.77,18.154.161.80,6,TCP,54,38,2024-03-28 01:37:34.818971,1711586254.818971500,,,,,,,,,,36088,443,0x0010,752,19737,
38,18.154.161.80,172.20.146.77,6,TCP,2734,39,2024-03-28 01:37:34.824758,1711586254.824757700,,,,,,,,,,443,36088,0x0018,19737,752,
39,172.20.146.77,18.154.161.80,6,TCP,54,40,2024-03-28 01:37:34.824780,1711586254.824779900,,,,,,,,,,36088,443,0x0010,752,22417,
40,18.154.161.80,172.20.146.77,6,TLS,1116,41,2024-03-28 01:37:34.825732,1711586254.825732300,,,,,,,,,,443,36088,0x0018,22417,752,TLS_Packet_Captured
41,172.20.146.77,18.154.161.80,6,TCP,54,42,2024-03-28 01:37:34.825755,1711586254.825754800,,,,,,,,,,36088,443,0x0010,752,23479,
42,18.154.161.80,172.20.146.77,6,TLS,531,43,2024-03-28 01:37:34.838231,1711586254.838230800,,,,,,,,,,443,36088,0x0018,23479,752,TLS_Packet_Captured
43,18.154.161.80,172.20.146.77,6,TLS,1282,44,2024-03-28 01:37:34.838231,1711586254.838231000,,,,,,,,,,443,36088,0x0018,23956,752,TLS_Packet_Captured
44,172.20.146.77,18.154.161.80,6,TCP,54,45,2024-03-28 01:37:34.838250,1711586254.838249700,,,,,,,,,,36088,443,0x0010,752,23956,
45,172.20.146.77,18.154.161.80,6,TCP,54,46,2024-03-28 01:37:34.838404,1711586254.838404300,,,,,,,,,,36088,443,0x0010,752,25184,
46,18.154.161.80,172.20.146.77,6,TLS,2734,47,2024-03-28 01:37:34.838584,1711586254.838584000,,,,,,,,,,443,36088,0x0018,25184,752,TLS_Packet_Captured
47,18.154.161.80,172.20.146.77,6,TLS,451,48,2024-03-28 01:37:34.838584,1711586254.838584200,,,,,,,,,,443,36088,0x0018,27864,752,TLS_Packet_Captured
48,18.154.161.80,172.20.146.77,6,TLS,2734,49,2024-03-28 01:37:34.838584,1711586254.838584200,,,,,,,,,,443,36088,0x0018,28261,752,TLS_Packet_Captured
49,172.20.146.77,18.154.161.80,6,TCP,54,50,2024-03-28 01:37:34.838611,1711586254.838610600,,,,,,,,,,36088,443,0x0010,752,30941,
50,18.154.161.80,172.20.146.77,6,TCP,2734,51,2024-03-28 01:37:34.842022,1711586254.842021700,,,,,,,,,,443,36088,0x0018,30941,752,
51,18.154.161.80,172.20.146.77,6,TCP,2734,52,2024-03-28 01:37:34.842022,1711586254.842021800,,,,,,,,,,443,36088,0x0018,33621,752,
52,172.20.146.77,18.154.161.80,6,TCP,54,53,2024-03-28 01:37:34.842041,1711586254.842040800,,,,,,,,,,36088,443,0x0010,752,33621,
53,172.20.146.77,18.154.161.80,6,TCP,54,54,2024-03-28 01:37:34.842062,1711586254.842061700,,,,,,,,,,36088,443,0x0010,752,36301,
