,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port
38,172.20.146.77,23.51.246.151,6,TCP,54,39,2024-03-28 01:34:34.296963,1711586074.296963100,38640,443,0x0010,822,26812,,,,,,,,,,
39,23.51.246.151,172.20.146.77,6,TCP,2734,40,2024-03-28 01:34:34.310627,1711586074.310627400,443,38640,0x0018,26812,822,,,,,,,,,,
40,172.20.146.77,23.51.246.151,6,TCP,54,41,2024-03-28 01:34:34.310669,1711586074.310669400,38640,443,0x0010,822,29492,,,,,,,,,,
41,23.51.246.151,172.20.146.77,6,TCP,2734,42,2024-03-28 01:34:34.310849,1711586074.310848800,443,38640,0x0018,29492,822,,,,,,,,,,
42,172.20.146.77,23.51.246.151,6,TCP,54,43,2024-03-28 01:34:34.310855,1711586074.310855300,38640,443,0x0010,822,32172,,,,,,,,,,
43,23.51.246.151,172.20.146.77,6,TLS,2734,44,2024-03-28 01:34:34.317041,1711586074.317041500,443,38640,0x0018,32172,822,TLS_Packet_Captured,,,,,,,,,
44,172.20.146.77,23.51.246.151,6,TCP,54,45,2024-03-28 01:34:34.317104,1711586074.317103600,38640,443,0x0010,822,34852,,,,,,,,,,
45,23.51.246.151,172.20.146.77,6,TCP,2734,46,2024-03-28 01:34:34.321872,1711586074.321871600,443,38640,0x0018,34852,822,,,,,,,,,,
46,172.20.146.77,23.51.246.151,6,TCP,54,47,2024-03-28 01:34:34.321904,1711586074.321904300,38640,443,0x0010,822,37532,,,,,,,,,,
47,23.51.246.151,172.20.146.77,6,TCP,2734,48,2024-03-28 01:34:34.322671,1711586074.322670900,443,38640,0x0018,37532,822,,,,,,,,,,
48,23.51.246.151,172.20.146.77,6,TLS,2734,49,2024-03-28 01:34:34.322671,1711586074.322671000,443,38640,0x0018,40212,822,TLS_Packet_Captured,,,,,,,,,
49,23.51.246.151,172.20.146.77,6,TCP,2734,50,2024-03-28 01:34:34.322671,1711586074.322671100,443,38640,0x0018,42892,822,,,,,,,,,,
50,23.51.246.151,172.20.146.77,6,TCP,2734,51,2024-03-28 01:34:34.322671,1711586074.322671100,443,38640,0x0018,45572,822,,,,,,,,,,
51,172.20.146.77,23.51.246.151,6,TCP,54,52,2024-03-28 01:34:34.322679,1711586074.322679100,38640,443,0x0010,822,40212,,,,,,,,,,
52,172.20.146.77,23.51.246.151,6,TCP,54,53,2024-03-28 01:34:34.322690,1711586074.322689600,38640,443,0x0010,822,48252,,,,,,,,,,
53,23.51.246.151,172.20.146.77,6,TCP,2734,54,2024-03-28 01:34:34.324747,1711586074.324746600,443,38640,0x0018,48252,822,,,,,,,,,,
54,172.20.146.77,23.51.246.151,6,TCP,54,55,2024-03-28 01:34:34.324753,1711586074.324753000,38640,443,0x0010,822,50932,,,,,,,,,,
55,23.51.246.151,172.20.146.77,6,TCP,2734,56,2024-03-28 01:34:34.325133,1711586074.325133100,443,38640,0x0018,50932,822,,,,,,,,,,
56,172.20.146.77,23.51.246.151,6,TCP,54,57,2024-03-28 01:34:34.325140,1711586074.325140000,38640,443,0x0010,822,53612,,,,,,,,,,
57,23.51.246.151,172.20.146.77,6,TCP,2734,58,2024-03-28 01:34:34.328469,1711586074.328469000,443,38640,0x0018,53612,822,,,,,,,,,,
58,172.20.146.77,23.51.246.151,6,TCP,54,59,2024-03-28 01:34:34.328478,1711586074.328478000,38640,443,0x0010,822,56292,,,,,,,,,,
59,23.51.246.151,172.20.146.77,6,TLS,4074,60,2024-03-28 01:34:34.328822,1711586074.328822400,443,38640,0x0018,56292,822,TLS_Packet_Captured,,,,,,,,,
60,172.20.146.77,23.51.246.151,6,TCP,54,61,2024-03-28 01:34:34.328836,1711586074.328835900,38640,443,0x0010,822,60312,,,,,,,,,,
61,23.51.246.151,172.20.146.77,6,TCP,2734,62,2024-03-28 01:34:34.341279,1711586074.341279300,443,38640,0x0018,60312,822,,,,,,,,,,
62,23.51.246.151,172.20.146.77,6,TCP,2734,63,2024-03-28 01:34:34.341280,1711586074.341279500,443,38640,0x0018,62992,822,,,,,,,,,,
63,23.51.246.151,172.20.146.77,6,TCP,2734,64,2024-03-28 01:34:34.341280,1711586074.341279600,443,38640,0x0018,65672,822,,,,,,,,,,
64,23.51.246.151,172.20.146.77,6,TLS,2734,65,2024-03-28 01:34:34.341280,1711586074.341279600,443,38640,0x0018,68352,822,TLS_Packet_Captured,,,,,,,,,
65,172.20.146.77,23.51.246.151,6,TCP,54,66,2024-03-28 01:34:34.341300,1711586074.341300200,38640,443,0x0010,822,62992,,,,,,,,,,
66,23.51.246.151,172.20.146.77,6,TCP,2734,67,2024-03-28 01:34:34.341463,1711586074.341463400,443,38640,0x0018,71032,822,,,,,,,,,,
67,23.51.246.151,172.20.146.77,6,TCP,2734,68,2024-03-28 01:34:34.341463,1711586074.341463400,443,38640,0x0018,73712,822,,,,,,,,,,
68,23.51.246.151,172.20.146.77,6,TCP,2734,69,2024-03-28 01:34:34.341464,1711586074.341463500,443,38640,0x0018,76392,822,,,,,,,,,,
69,23.51.246.151,172.20.146.77,6,TCP,2734,70,2024-03-28 01:34:34.341464,1711586074.341463500,443,38640,0x0018,79072,822,,,,,,,,,,
70,172.20.146.77,23.51.246.151,6,TCP,54,71,2024-03-28 01:34:34.341488,1711586074.341488400,38640,443,0x0010,822,81752,,,,,,,,,,
71,23.51.246.151,172.20.146.77,6,TCP,2734,72,2024-03-28 01:34:34.344268,1711586074.344268100,443,38640,0x0018,81752,822,,,,,,,,,,
72,172.20.146.77,23.51.246.151,6,TCP,54,73,2024-03-28 01:34:34.344285,1711586074.344285400,38640,443,0x0010,822,84432,,,,,,,,,,
73,23.51.246.151,172.20.146.77,6,TLS,2734,74,2024-03-28 01:34:34.344733,1711586074.344732900,443,38640,0x0018,84432,822,TLS_Packet_Captured,,,,,,,,,
